Chord,Note1,Note2,Note3,target
2_0,2,2,2,1
3_0,3,3,3,0
4_0,4,4,4,1
5_0,5,5,5,1
6_0,6,6,6,0
7_0,7,7,7,1
2_0,2,2,2,1
3_0,5.571428571,5.571428571,5.571428571,1
2_1,5.928571429,5.928571429,5.928571429,1
3_1,6.285714286,6.285714286,6.285714286,0
4_1,6.642857143,6.642857143,6.642857143,0
5_1,7,7,7,1
6_1,7.357142857,7.357142857,7.357142857,1
7_1,7.714285714,7.714285714,7.714285714,1
2_1,8.071428571,8.071428571,8.071428571,1
3_1,8.428571429,8.428571429,8.428571429,1
2_1,8.785714286,8.785714286,8.785714286,0
3_1,9.142857143,9.142857143,9.142857143,0
4_1,9.5,9.5,9.5,1
2_1,9.857142857,9.857142857,9.857142857,1
3_1,10.21428571,10.21428571,10.21428571,0
4_1,10.57142857,10.57142857,10.57142857,0
5_1,10.92857143,10.92857143,10.92857143,0
6_1,11.28571429,11.28571429,11.28571429,0
7_1,11.64285714,11.64285714,11.64285714,1
2_1,12,12,12,1
3_1,12.35714286,12.35714286,12.35714286,0
2_1,12.71428571,12.71428571,12.71428571,1
3_1,13.07142857,13.07142857,13.07142857,0
4_1,13.42857143,13.42857143,13.42857143,1
5_1,13.78571429,13.78571429,13.78571429,1
6_1,14.14285714,14.14285714,14.14285714,0
7_1,14.5,14.5,14.5,1
2_1,14.85714286,14.85714286,14.85714286,1
3_1,15.21428571,15.21428571,15.21428571,1
2_2,15.57142857,15.57142857,15.57142857,1
3_2,15.92857143,15.92857143,15.92857143,1
4_2,16.28571429,16.28571429,16.28571429,1
2_1,16.64285714,16.64285714,16.64285714,1
3_1,17,17,17,0
4_1,17.35714286,17.35714286,17.35714286,0
5_1,17.71428571,17.71428571,17.71428571,0
6_1,18.07142857,18.07142857,18.07142857,0
7_1,18.42857143,18.42857143,18.42857143,0
2_1,18.78571429,18.78571429,18.78571429,0
3_1,19.14285714,19.14285714,19.14285714,0
2_2,19.5,19.5,19.5,0
3_2,19.85714286,19.85714286,19.85714286,0
4_2,20.21428571,20.21428571,20.21428571,0
5_2,20.57142857,20.57142857,20.57142857,1
6_2,20.92857143,20.92857143,20.92857143,1
7_2,21.28571429,21.28571429,21.28571429,1
2_2,21.64285714,21.64285714,21.64285714,1
3_2,22,22,22,1
2_2,22.35714286,22.35714286,22.35714286,1
3_2,22.71428571,22.71428571,22.71428571,1
4_2,23.07142857,23.07142857,23.07142857,1
2_2,23.42857143,23.42857143,23.42857143,1
3_2,23.78571429,23.78571429,23.78571429,1
4_2,24.14285714,24.14285714,24.14285714,0
5_2,24.5,24.5,24.5,0
6_2,24.85714286,24.85714286,24.85714286,0
7_2,25.21428571,25.21428571,25.21428571,0
2_2,25.57142857,25.57142857,25.57142857,0
3_2,25.92857143,25.92857143,25.92857143,1
2_2,26.28571429,26.28571429,26.28571429,1
3_2,26.64285714,26.64285714,26.64285714,1
4_2,27,27,27,1
5_2,27.35714286,27.35714286,27.35714286,1
6_2,27.71428571,27.71428571,27.71428571,0
7_2,28.07142857,28.07142857,28.07142857,0
2_2,28.42857143,28.42857143,28.42857143,0
3_2,28.78571429,28.78571429,28.78571429,0
2_3,29.14285714,29.14285714,29.14285714,0
3_3,29.5,29.5,29.5,0
4_3,29.85714286,29.85714286,29.85714286,0
2_1,30.21428571,30.21428571,30.21428571,1
3_1,30.57142857,30.57142857,30.57142857,1
4_1,30.92857143,30.92857143,30.92857143,1
5_1,31.28571429,31.28571429,31.28571429,1
6_1,31.64285714,31.64285714,31.64285714,1
7_1,32,32,32,1
2_1,32.35714286,32.35714286,32.35714286,1
3_1,32.71428571,32.71428571,32.71428571,0
2_2,33.07142857,33.07142857,33.07142857,1
3_2,33.42857143,33.42857143,33.42857143,1
4_2,33.78571429,33.78571429,33.78571429,0
5_2,34.14285714,34.14285714,34.14285714,1
6_2,34.5,34.5,34.5,1
7_2,34.85714286,34.85714286,34.85714286,1
2_2,35.21428571,35.21428571,35.21428571,1
3_2,35.57142857,35.57142857,35.57142857,0
2_2,35.92857143,35.92857143,35.92857143,0
3_2,36.28571429,36.28571429,36.28571429,1
4_2,36.64285714,36.64285714,36.64285714,1
2_2,37,37,37,1
3_2,37.35714286,37.35714286,37.35714286,1
4_2,37.71428571,37.71428571,37.71428571,1
5_2,38.07142857,38.07142857,38.07142857,0
6_2,38.42857143,38.42857143,38.42857143,0
7_2,38.78571429,38.78571429,38.78571429,1
2_2,39.14285714,39.14285714,39.14285714,1
3_2,39.5,39.5,39.5,0
2_2,39.85714286,39.85714286,39.85714286,0
3_2,40.21428571,40.21428571,40.21428571,0
4_2,40.57142857,40.57142857,40.57142857,0
5_2,40.92857143,40.92857143,40.92857143,1
6_2,41.28571429,41.28571429,41.28571429,1
7_2,41.64285714,41.64285714,41.64285714,0
2_2,42,42,42,1
3_2,42.35714286,42.35714286,42.35714286,0
2_3,42.71428571,42.71428571,42.71428571,1
3_3,43.07142857,43.07142857,43.07142857,1
4_3,43.42857143,43.42857143,43.42857143,0
2_2,43.78571429,43.78571429,43.78571429,1
3_2,44.14285714,44.14285714,44.14285714,1
2_1,44.5,44.5,44.5,1
3_1,44.85714286,44.85714286,44.85714286,1
4_1,45.21428571,45.21428571,45.21428571,1
5_1,45.57142857,45.57142857,45.57142857,1
6_1,45.92857143,45.92857143,45.92857143,1
7_1,46.28571429,46.28571429,46.28571429,0
2_1,46.64285714,46.64285714,46.64285714,0
3_1,47,47,47,0
2_2,47.35714286,47.35714286,47.35714286,0
3_2,47.71428571,47.71428571,47.71428571,0
4_2,48.07142857,48.07142857,48.07142857,0
5_2,48.42857143,48.42857143,48.42857143,0
6_2,48.78571429,48.78571429,48.78571429,0
7_2,49.14285714,49.14285714,49.14285714,0
2_2,49.5,49.5,49.5,0
3_2,49.85714286,49.85714286,49.85714286,1
2_2,50.21428571,50.21428571,50.21428571,1
3_2,50.57142857,50.57142857,50.57142857,1
4_2,50.92857143,50.92857143,50.92857143,1
2_2,51.28571429,51.28571429,51.28571429,1
3_2,51.64285714,51.64285714,51.64285714,1
4_2,52,52,52,1
5_2,52.35714286,52.35714286,52.35714286,1
6_2,52.71428571,52.71428571,52.71428571,1
7_2,53.07142857,53.07142857,53.07142857,1
2_2,53.42857143,53.42857143,53.42857143,0
3_2,53.78571429,53.78571429,53.78571429,0
2_2,54.14285714,54.14285714,54.14285714,0
3_2,54.5,54.5,54.5,0
4_2,54.85714286,54.85714286,54.85714286,0
5_2,55.21428571,55.21428571,55.21428571,1
2_1,55.57142857,55.57142857,55.57142857,1
3_1,55.92857143,55.92857143,55.92857143,1
4_1,56.28571429,56.28571429,56.28571429,1
5_1,56.64285714,56.64285714,56.64285714,1
6_1,57,57,57,0
7_1,57.35714286,57.35714286,57.35714286,0
2_1,57.71428571,57.71428571,57.71428571,0
3_1,58.07142857,58.07142857,58.07142857,0
2_2,58.42857143,58.42857143,58.42857143,0
3_2,58.78571429,58.78571429,58.78571429,0
4_2,59.14285714,59.14285714,59.14285714,0
5_2,59.5,59.5,59.5,1
6_2,59.85714286,59.85714286,59.85714286,1
7_2,60.21428571,60.21428571,60.21428571,1
2_2,60.57142857,60.57142857,60.57142857,1
3_2,60.92857143,60.92857143,60.92857143,1
2_2,61.28571429,61.28571429,61.28571429,1
3_2,61.64285714,61.64285714,61.64285714,1
4_2,62,62,62,0
2_2,62.35714286,62.35714286,62.35714286,1
3_2,62.71428571,62.71428571,62.71428571,1
4_2,63.07142857,63.07142857,63.07142857,0
5_2,63.42857143,63.42857143,63.42857143,1
6_2,63.78571429,63.78571429,63.78571429,1
7_2,64.14285714,64.14285714,64.14285714,1
2_2,64.5,64.5,64.5,1
3_2,64.85714286,64.85714286,64.85714286,0
2_2,65.21428571,65.21428571,65.21428571,0
3_2,65.57142857,65.57142857,65.57142857,1
4_2,65.92857143,65.92857143,65.92857143,1
5_2,66.28571429,66.28571429,66.28571429,1
6_2,66.64285714,66.64285714,66.64285714,1
7_2,67,67,67,1
2_2,67.35714286,67.35714286,67.35714286,0
3_2,67.71428571,67.71428571,67.71428571,0
2_3,68.07142857,68.07142857,68.07142857,1
3_3,68.42857143,68.42857143,68.42857143,1
4_3,68.78571429,68.78571429,68.78571429,0
2_2,69.14285714,69.14285714,69.14285714,0
3_2,69.5,69.5,69.5,0
4_2,69.85714286,69.85714286,69.85714286,0
5_2,70.21428571,70.21428571,70.21428571,1
6_2,70.57142857,70.57142857,70.57142857,1
7_2,70.92857143,70.92857143,70.92857143,0
2_2,71.28571429,71.28571429,71.28571429,1
3_2,71.64285714,71.64285714,71.64285714,0
2_3,72,72,72,1
3_3,72.35714286,72.35714286,72.35714286,1
4_3,72.71428571,72.71428571,72.71428571,0
5_3,73.07142857,73.07142857,73.07142857,1
6_3,73.42857143,73.42857143,73.42857143,1
7_3,73.78571429,73.78571429,73.78571429,1
2_1,74.14285714,74.14285714,74.14285714,1
3_1,74.5,74.5,74.5,1
4_1,74.85714286,74.85714286,74.85714286,1
5_1,75.21428571,75.21428571,75.21428571,1
6_1,75.57142857,75.57142857,75.57142857,0
7_1,75.92857143,75.92857143,75.92857143,0
2_1,76.28571429,76.28571429,76.28571429,0
3_1,76.64285714,76.64285714,76.64285714,0
2_2,77,77,77,0
3_2,77.35714286,77.35714286,77.35714286,0
4_2,77.71428571,77.71428571,77.71428571,0
5_2,78.07142857,78.07142857,78.07142857,0
6_2,78.42857143,78.42857143,78.42857143,0
7_2,78.78571429,78.78571429,78.78571429,0
2_2,79.14285714,79.14285714,79.14285714,1
3_2,79.5,79.5,79.5,1
2_2,79.85714286,79.85714286,79.85714286,1
3_2,80.21428571,80.21428571,80.21428571,1
4_2,80.57142857,80.57142857,80.57142857,1
2_2,80.92857143,80.92857143,80.92857143,1
3_2,81.28571429,81.28571429,81.28571429,1
4_2,81.64285714,81.64285714,81.64285714,1
5_2,82,82,82,1
6_2,82.35714286,82.35714286,82.35714286,1
7_2,82.71428571,82.71428571,82.71428571,0
2_2,83.07142857,83.07142857,83.07142857,0
3_2,83.42857143,83.42857143,83.42857143,0
2_2,83.78571429,83.78571429,83.78571429,0
3_2,84.14285714,84.14285714,84.14285714,0
4_2,84.5,84.5,84.5,1
5_2,84.85714286,84.85714286,84.85714286,1
6_2,85.21428571,85.21428571,85.21428571,1
7_2,85.57142857,85.57142857,85.57142857,1
2_2,85.92857143,85.92857143,85.92857143,1
3_2,86.28571429,86.28571429,86.28571429,0
2_3,86.64285714,86.64285714,86.64285714,0
3_3,87,87,87,0
4_3,87.35714286,87.35714286,87.35714286,0
2_2,87.71428571,87.71428571,87.71428571,0
3_2,88.07142857,88.07142857,88.07142857,0
4_2,88.42857143,88.42857143,88.42857143,0
5_2,88.78571429,88.78571429,88.78571429,1
6_2,89.14285714,89.14285714,89.14285714,1
7_2,89.5,89.5,89.5,1
2_2,89.85714286,89.85714286,89.85714286,1
3_2,90.21428571,90.21428571,90.21428571,1
2_3,90.57142857,90.57142857,90.57142857,1
3_3,90.92857143,90.92857143,90.92857143,1
4_3,91.28571429,91.28571429,91.28571429,0
5_3,91.64285714,91.64285714,91.64285714,1
6_3,92,92,92,1
7_3,92.35714286,92.35714286,92.35714286,0
2_3,92.71428571,92.71428571,92.71428571,1
3_3,93.07142857,93.07142857,93.07142857,1
2_3,93.42857143,93.42857143,93.42857143,1
3_3,93.78571429,93.78571429,93.78571429,1
4_3,94.14285714,94.14285714,94.14285714,0
2_3,94.5,94.5,94.5,0
3_3,94.85714286,94.85714286,94.85714286,1
4_3,95.21428571,95.21428571,95.21428571,1
2_1,95.57142857,95.57142857,95.57142857,1
3_1,95.92857143,95.92857143,95.92857143,1
4_1,96.28571429,96.28571429,96.28571429,1
5_1,96.64285714,96.64285714,96.64285714,0
6_1,97,97,97,0
7_1,97.35714286,97.35714286,97.35714286,1
2_1,97.71428571,97.71428571,97.71428571,1
3_1,98.07142857,98.07142857,98.07142857,0
2_2,98.42857143,98.42857143,98.42857143,0
3_2,98.78571429,98.78571429,98.78571429,0
4_2,99.14285714,99.14285714,99.14285714,0
5_2,99.5,99.5,99.5,1
6_2,99.85714286,99.85714286,99.85714286,1
7_2,100.2142857,100.2142857,100.2142857,0
2_2,100.5714286,100.5714286,100.5714286,1
3_2,100.9285714,100.9285714,100.9285714,0
2_2,101.2857143,101.2857143,101.2857143,1
3_2,101.6428571,101.6428571,101.6428571,1
4_2,102,102,102,0
2_2,102.3571429,102.3571429,102.3571429,1
3_2,102.7142857,102.7142857,102.7142857,1
4_2,103.0714286,103.0714286,103.0714286,1
5_2,103.4285714,103.4285714,103.4285714,1
6_2,103.7857143,103.7857143,103.7857143,1
7_2,104.1428571,104.1428571,104.1428571,1
2_2,104.5,104.5,104.5,1
3_2,104.8571429,104.8571429,104.8571429,0
2_2,105.2142857,105.2142857,105.2142857,0
3_2,105.5714286,105.5714286,105.5714286,0
4_2,105.9285714,105.9285714,105.9285714,0
5_2,106.2857143,106.2857143,106.2857143,0
6_2,106.6428571,106.6428571,106.6428571,0
7_2,107,107,107,0
2_2,107.3571429,107.3571429,107.3571429,0
3_2,107.7142857,107.7142857,107.7142857,0
2_3,108.0714286,108.0714286,108.0714286,0
3_3,108.4285714,108.4285714,108.4285714,1
4_3,108.7857143,108.7857143,108.7857143,1
2_2,109.1428571,109.1428571,109.1428571,1
3_2,109.5,109.5,109.5,1
4_2,109.8571429,109.8571429,109.8571429,1
5_2,110.2142857,110.2142857,110.2142857,1
6_2,110.5714286,110.5714286,110.5714286,1
7_2,110.9285714,110.9285714,110.9285714,1
2_2,111.2857143,111.2857143,111.2857143,1
3_2,111.6428571,111.6428571,111.6428571,1
2_3,112,112,112,0
3_3,112.3571429,112.3571429,112.3571429,0
2_1,112.7142857,112.7142857,112.7142857,0
3_1,113.0714286,113.0714286,113.0714286,0
4_1,113.4285714,113.4285714,113.4285714,0
5_1,113.7857143,113.7857143,113.7857143,1
6_1,114.1428571,114.1428571,114.1428571,1
7_1,114.5,114.5,114.5,1
2_1,114.8571429,114.8571429,114.8571429,1
3_1,115.2142857,115.2142857,115.2142857,1
2_2,115.5714286,115.5714286,115.5714286,0
3_2,115.9285714,115.9285714,115.9285714,0
4_2,116.2857143,116.2857143,116.2857143,0
5_2,116.6428571,116.6428571,116.6428571,0
6_2,117,117,117,0
7_2,117.3571429,117.3571429,117.3571429,0
2_2,117.7142857,117.7142857,117.7142857,0
3_2,118.0714286,118.0714286,118.0714286,1
2_2,118.4285714,118.4285714,118.4285714,1
3_2,118.7857143,118.7857143,118.7857143,1
4_2,119.1428571,119.1428571,119.1428571,1
2_2,119.5,119.5,119.5,1
3_2,119.8571429,119.8571429,119.8571429,1
4_2,120.2142857,120.2142857,120.2142857,1
5_2,120.5714286,120.5714286,120.5714286,0
6_2,120.9285714,120.9285714,120.9285714,1
7_2,121.2857143,121.2857143,121.2857143,1
2_2,121.6428571,121.6428571,121.6428571,0
3_2,122,122,122,1
2_2,122.3571429,122.3571429,122.3571429,1
3_2,122.7142857,122.7142857,122.7142857,1
4_2,123.0714286,123.0714286,123.0714286,1
5_2,123.4285714,123.4285714,123.4285714,0
6_2,123.7857143,123.7857143,123.7857143,0
7_2,124.1428571,124.1428571,124.1428571,1
2_2,124.5,124.5,124.5,1
3_2,124.8571429,124.8571429,124.8571429,1
2_3,125.2142857,125.2142857,125.2142857,1
3_3,125.5714286,125.5714286,125.5714286,1
4_3,125.9285714,125.9285714,125.9285714,0
2_2,126.2857143,126.2857143,126.2857143,0
3_2,126.6428571,126.6428571,126.6428571,1
4_2,127,127,127,1
5_2,127.3571429,127.3571429,127.3571429,0
6_2,127.7142857,127.7142857,127.7142857,0
7_2,128.0714286,128.0714286,128.0714286,0
2_2,128.4285714,128.4285714,128.4285714,0
3_2,128.7857143,128.7857143,128.7857143,1
2_3,129.1428571,129.1428571,129.1428571,1
3_3,129.5,129.5,129.5,0
4_3,129.8571429,129.8571429,129.8571429,1
5_3,130.2142857,130.2142857,130.2142857,0
6_3,130.5714286,130.5714286,130.5714286,1
7_3,130.9285714,130.9285714,130.9285714,1
2_3,131.2857143,131.2857143,131.2857143,0
